Job Title,Company,Rating,Reviews,Experience,Salary,Location,Description,Skills,Posted Date
Sales Manager,Radisson Hotel Group,4.0,1895,3-8 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Ensures adherence and compliance to all legislation where due diligence requirements an...,HospitalityDue diligenceComplianceguest satisfactionExternal auditGuest serviceFinanceSales initiatives,4 Days Ago
Biostatistician II FSP,Cytel,4.4,48,3-5 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","Experience working for a CRO is strongly desiredExperience in sample size calculation, ...",CROSAPStatistical analysisPharmaR ProgrammingProtocol developmentClinical trialsclinical development,1 Day Ago
DIRECTOR OF FINANCE (CA),Marriott,4.2,1253,4-7 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",CANDIDATE PROFILE . Education and Experience . 4-year bachelors degree in Finance and A...,AnalyticalStandard operating proceduresStrategic planningCash flowHRBusiness strategyOperationsMonitoring,4 Days Ago
Assistant Manager IT,Marriott,4.2,1253,4-7 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",CANDIDATE PROFILE . Education and Experience . 2-year degree from an accredited univers...,Computer scienceNetwork operationsProject managementManager TechnologyIT hardwareHardwareSite monitoringAsset management,4 Days Ago
Automation Tester-Java Selenium Job,Yash Technologies,3.8,1611,3-7 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Should be good in understanding Integrated system and derive System Integration test ca...,MavenGITBusiness transformationDebuggingSystem integrationAgileSeleniumTest cases,1 Day Ago
Project Manager - BLR,Photon,4.1,1812,9-12 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Location: Bangalore Experience: 9+ years Joining: Immediate joiners preferred...,ExcelAgile scrumProject managementAgileScrumJIRAProject deliveryPowerpoint,30+ Days Ago
Salesforce Developer Job,Yash Technologies,3.8,1611,3-5 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","Experience - 3-5 years (Immediate joiners preferable) Proven experience with APEX, Visu...",Enterprise architectureAgileApplication developmentAgile methodologysoftware qualityMiddlewareSDLCProduct support,1 Day Ago
Analytics - Software Engineer,Ford,4.4,779,5-6 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","Responsibilities What youll do Engineer, test, document and manage GCP Dataproc, Data...",Computer scienceAutomationgithubVersion controlInfrastructure managementMachine learningData processingApache,4 Days Ago
Software Tester-Automation - BLR,Photon,4.1,1812,3-10 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Joining: Immediate joiners preferred Experience: 3 to 10 years,Automation testingManual testingSales auditMainframe testingIntegration testingOracleTroubleshootingRetail sales,30+ Days Ago
Sr. Software Engineer - Java - CHN,Photon,4.1,1812,4-8 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Must have Experience: 10+ Years Cloud Platform: Hands-on experience developing Cloud Na...,web servicesjspjdbchibernatemicroservicesspringjavacore spring,1 Day Ago
Software Engineer - .Net - CHN,Photon,4.1,1812,6-9 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","Perform documentation, design, and testing tasks as required by the teamExperience: 6 -...",restcsslegacyconfluencesoftware testingrelational databasesbitbucketvisual studio,1 Day Ago
Walkin Fresher - PUNE - International Contact center - Inbound calls,Cognizant,3.8,49892,01 Mar,Not disclosed,Pune,"Job descriptionSkill: Candidates with excellent communication, willing to work with Int...",Communication SkillsCallsCustomer ServiceInbound CallsCallingCustomer CareInternational Voice ProcessInternational voice,Walk-in
Analyst - General Ledger,Flex,4.0,2369,0-1 Yrs,Not disclosed,Pune,. Good analytical skills and should be a team player . Analyze data come with findings ...,Health insuranceERPFinancial statementsAutomationSenior AnalystReconciliationStandard operating proceduresFlex,1 Day Ago
Process Associate,IGT Solutions,3.3,2702,0-1 Yrs,2-3.5 Lacs PA,Pune(Viman Nagar),a Bachelors degree is a plus. Fresher and experienced up-to 6 months are eligibleMinimu...,Customer SupportInternational Call CenterInternational Voice ProcessInternational BPOUS ProcessAirline ProcessAirlinesTravel Process,1 Day Ago
Cloud Platform Engineer,Accenture,3.8,56065,0-2 Yrs,Not disclosed,Pune,"0-2 years of experience in Linux Operations and 15 years of full-time education|Design,...",kubernetespythonlinux internalsdockerawscontinuous integrationmavenvmware,1 Day Ago
GSA- Food & Beverage Service,Marriott,4.2,1253,0-3 Yrs,Not disclosed,Pune,"Stand, sit, or walk for an extended period of time or for an entire work shiftLicense o...",SupervisorPrintingUsageSafety trainingInspectionBeverageTrainingSafety,1 Day Ago
Assistant Manager - Debt Management Services,Bajaj Finserv Ltd.,3.4,196,0-2 Yrs,Not disclosed,Pune,Required Qualifications and Experience,project managementoperations managementservice managementcustomer serviceproblem managementchange managementcustomer supporttechnical services,1 Day Ago
Financial Analyst - SAI,A.P. Moller Maersk,4.2,2878,0-10 Yrs,Not disclosed,Pune,Executes analysis and interprets financial information related to organisational entiti...,UsagePerformance managementFinanceLegalM&AFinancial AnalystRisk managementBusiness partnering,1 Day Ago
Walk-in Interview || Pune-Shukrawar peth || IIFL Finance,IIFL Finance,4.0,5208,01 Mar,2.5-4.25 Lacs PA,Pune(Ghorpadi +6),Qualification- Any Graduate. Department: Gold Loan (Sales)Branch Manager - Graduate wit...,SalesPuneBibwewadiCustomer ServiceCross SalesHinjewadiPimpriGold Appraiser,Walk-in
Walk-in Interview || Pune-Pimpri || IIFL Finance,IIFL Finance,4.0,5208,01 Mar,2.5-4.25 Lacs PA,"Pimpri-Chinchwad, Pune(Pimpri +3)",Qualification- Any Graduate. Department: Gold Loan (Sales)Branch Manager - Graduate wit...,SalesPuneBibwewadiHinjewadiPimpriLoni KalbhorKedgaonShukrawar Peth,Walk-in
Walk-in Interview || Pune-Uruli Kanchan || IIFL Finance,IIFL Finance,4.0,5208,01 Mar,2.5-4.25 Lacs PA,Pune(Bhigwan +3),Qualification- Any Graduate. Department: Gold Loan (Sales)Branch Manager - Graduate wit...,SalesPuneFresherWagholiBibwewadiSangaviHinjewadiSambhaji,Walk-in
Genpact Hiring For Customer Service: Voice Roles - Pune,Genpact,3.8,31334,0-5 Yrs,Not disclosed,Pune,Comfortable working in a 24x7 work environment with rotational shifts Graduate / Bachel...,EnglishVoiceBPOCustomer ServiceInternational Call CenterSemi VoiceCallingKPO,1 Day Ago
PUMA - WALK IN Drive | Hiring Sales Associate & Supervisor - Pune,Puma,4.2,615,27 Feb,Not disclosed,Pune,Experienced or Graduate / PG Freshers can also applyEnsuring the best service experienc...,retail salesfashion consultantSalesretail sales executivestore supervisionStore ManagementStore PlanningStore Keeping,Women candidates preferred
ITGC-Senior,EY,3.4,10684,3-7 Yrs,Not disclosed,"Hybrid - Noida, Pune, Gurugram","Location- Bangalore, Gurgaon Noida, Kolkata, Chennai, Pune and Kerala . To qualify for ...",IT AuditInternal AuditItgcIt General ControlsSOX ComplianceSOCComplianceControl,14 Days Ago
Ms Dynamics Developer,Hexaware Technologies,3.6,5861,4-9 Yrs,5-15 Lacs PA,"Hybrid - Pune, Chennai, Bengaluru","- Skills in HTML5, CSS3, ASP.NET, MVC, JavaScript, Angular, Web API, and RESTful servic...",MS Dynamics CRMPower PlatformMicrosoft DynamicsPowerappsMicrosoftDynamicsDynamicCRM,12 Days Ago
RPA Business Analyst (Except Bangalore Location),Capgemini,3.7,41482,4-9 Yrs,Not disclosed,"Hybrid - Pune, Chennai, Delhi / NCR","Proven experience in leading teams for end-to-end RPA projects; proficiency in Agile, W...",RpaBusiness AnalysisBusiness AnalyticsAutomation AnywhereRobotic Process AutomationUipathBlue PrismRobotic Process,12 Days Ago
Ms Dynamics Developer,Hexaware Technologies,3.6,5861,9-14 Yrs,10-20 Lacs PA,"Hybrid - Pune, Chennai, Bengaluru","- Skills in HTML5, CSS3, ASP.NET, MVC, JavaScript, Angular, Web API, and RESTful servic...",MS Dynamics CRMPower PlatformMicrosoft DynamicsPowerappsDynamicMicrosoftCRMDevelopment,12 Days Ago
Devops Engineer,Cognizant,3.8,49892,10-18 Yrs,Not disclosed,"Hybrid - Pune, Chennai, Bengaluru","Proficiency in AWS, Linux, Kubernetes, Docker, Terraform, and Ansible|Manage production...",TerraformAnsibleCi/CdPythonContinuous IntegrationDevopsContinuous IntegrationCd,15 Days Ago
Cognizant walk-in For Java developer-1st Mar,Cognizant,3.8,49892,01 Mar,Not disclosed,"Hybrid - Pune, Chennai, Bengaluru",". Lead Java Full stack Developer with good hands-on experience in J2EE, Java, Spring Bo...",JavaSpring BootangularHibernateAWSMicroservicesFor JavaBootstrap,Walk-in
Cognizant Hiring - Face To Face- Angular Developer,Cognizant,3.8,49892,6-11 Yrs,Not disclosed,"Hybrid - Pune, Chennai, Bengaluru","6-9 years of experience with Angular, HTML, CSS, and JavaScript|Develop and maintain we...",AngularJavascriptHtml/CssAngular DevelopmentCSSHTMLCsDevelopment,14 Days Ago
Dot Net Developer,Cognizant,3.8,49892,6-10 Yrs,Not disclosed,"Hybrid - Pune, Coimbatore, Bengaluru","Minimum 6 years experience in ASP.NET, C#, SQL, Angular/React, Azure|Develop and mainta...",C#.Net CoreASP.NetAngularDevelopmentDoT.NetCore,14 Days Ago
Food and Beverage Executive,Marriott,4.2,1253,2-5 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Supervisory Experience: At least 1 year of supervisory experience . License or Certific...,SupervisorPrintingSafety trainingFood & Beverage ExecutiveInspectionSchedulingManagementCost,5 Days Ago
Front Office Executive,Marriott,4.2,1253,1-5 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Supervisory Experience: At least 1 year of supervisory experience . License or Certific...,SupervisorFront Office ExecutiveQuality standardsManagementCostRoomFinancial servicesQuality,5 Days Ago
F&B Service Executive - Banquet,Marriott,4.2,1253,1-5 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Supervisory Experience: At least 1 year of supervisory experience . License or Certific...,SupervisorPrintingSafety trainingInspectionService ExecutiveSchedulingManagementCost,5 Days Ago
F&B Service Associate,Marriott,4.2,1253,1-6 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Supervisory Experience: No supervisory experience . License or Certification: None PREF...,SupervisorPrintingUsageSafety trainingService AssociateInspectionSupervisionF#,5 Days Ago
F&B Service Executive - IRD,Marriott,4.2,1253,2-5 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Supervisory Experience: At least 1 year of supervisory experience . License or Certific...,SupervisorPrintingSafety trainingInspectionService ExecutiveSchedulingManagementCost,5 Days Ago
Demi Chef de Partie - Indian,Marriott,4.2,1253,3-4 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Supervisory Experience: No supervisory experience . License or Certification: None PREF...,SupervisorTradeQuality standardsSafety trainingChefSchedulingManagementDemi Chef De Partie,5 Days Ago
Culinary Associate ( Halwai ),Marriott,4.2,1253,1-4 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","Stand, sit, or walk for an extended period of time or for an entire work shift . Reach ...",SupervisorStationQuality standardsCookingAppliancesSafety trainingCulinary AssociateCook,5 Days Ago
Culinary Associate,Marriott,4.2,1253,1-4 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","Stand, sit, or walk for an extended period of time or for an entire work shift . Reach ...",SupervisorStationQuality standardsCookingAppliancesSafety trainingCulinary AssociateCook,5 Days Ago
Commis III - South Indian,Marriott,4.2,1253,1-4 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","Stand, sit, or walk for an extended period of time or for an entire work shift . Reach ...",SupervisorStationQuality standardsCookingAppliancesSafety trainingCookcommis,5 Days Ago
Commis - Culinary,Marriott,4.2,1253,1-3 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","Stand, sit, or walk for an extended period of time or for an entire work shift . Reach ...",SupervisorStationQuality standardsCookingAppliancesSafety trainingCookcommis,5 Days Ago
Engineering Associate,Marriott,4.2,1253,3-4 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Communicate each day s activities and problems that occur to the other shifts using app...,HousekeepingEnergy conservationSafety trainingMechanicalValvesRefrigerationTroubleshootingEngineering Associate,5 Days Ago
Fitness Executive,Marriott,4.2,1253,1-4 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","Stand, sit, or walk for an extended period of time or for an entire work shift . Move, ...",TrainingPrintingSafety trainingSenior ExecutiveInspectionSchedulingManagementCounselling,5 Days Ago
Assistant Sales Manager,Marriott,4.2,1253,4-7 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",CANDIDATE PROFILE . Education and Experience . 2-year degree from an accredited univers...,Product qualityBusiness administrationSalesEvent managementService excellenceCustomer serviceCustomer experienceOperations,5 Days Ago
Chef De Partie,Marriott,4.2,1253,4-6 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Supervisory Experience: At least 2 years of supervisory experience . License or Certifi...,SupervisorChef De PartieTradeSafety trainingFood safetySchedulingkitchen staffManagement,5 Days Ago
Demi Chef de Partie,Marriott,4.2,1253,3-7 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Supervisory Experience: No supervisory experience . License or Certification: None PREF...,SupervisorTradeQuality standardsSafety trainingChefSchedulingManagementDemi Chef De Partie,5 Days Ago
Chef de Partie - Tandoor,Marriott,4.2,1253,3-7 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Supervisory Experience: No supervisory experience . License or Certification: None PREF...,SupervisorChef De PartieTradeQuality standardsSafety trainingChefSchedulingManagement,5 Days Ago
Chef de Partie - South indian,Marriott,4.2,1253,3-7 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Supervisory Experience: No supervisory experience . License or Certification: None PREF...,SupervisorChef De PartieTradeQuality standardsSafety trainingChefSchedulingManagement,5 Days Ago
DIRECTOR OF ENGINEERING,Marriott,4.2,1253,6-9 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",6 years experience in the engineering and maintenance or related professional area tech...,Water treatmentHVACPayrollEnergy conservationcapital expenditureHRBusiness strategyBudgeting,5 Days Ago
Director Marketing,Marriott,4.2,1253,4-7 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Promotes and maintains good communications in order to enhance the prestigious image of...,Public relationsadvertising agencyUsageDirect marketingDOMField marketingIntranetAccount management,5 Days Ago
Enrollment Counselor,Coursera,3.4,31,3-4 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","Basic Qualifications: . Bachelors degree in Education, Business, Marketing, or a relate...",Interpersonal skillsData managementRelationship buildingconsumer marketingSales trainingEducational salesCounsellingRecruitment,5 Days Ago
PAM Analyst,Zensar,3.7,2480,0-3 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Zensar Technologies is looking for PAM Analyst to join our dynamic team and embark on a...,Design engineeringTechnology consultingSenior AnalystFocusAgileConceptualizationManagementDesign,6 Days Ago
Therapy Business Manager,Abbott,4.1,3035,2-7 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",REQUIRED EXPERIENCE . BSc/ B Pharm or Any Graduate with minimum 2 years of prior experi...,Product launchMedical devicesBrand managementPharmaBusiness planningHealthcareCMEMedical Representative,6 Days Ago
"Principal Engineer, IOT",Nagarro,4.0,4093,13-15 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","Bachelor s or master s degree in computer science, Information Technology, or a related...",Computer scienceLinuxnginxArchitectureConsultingArchitectural designWindowsHigh level design,6 Days Ago
Software Developer 3,Oracle,3.7,5203,3-5 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","Design and Development: Create and implement scalable, multi-tenant cloud services on...",AutomationEnterprise applicationsXMLJavascriptJDBCHealthcareJSONOracle,5 Days Ago
Software Developer 3,Oracle,3.7,5203,3-5 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","Design, develop, troubleshoot and debug software programs for Oracle databases, Java w...",System architectureSolution designArchitectureScalabilityCodingAction planPerformance testingSystem design,5 Days Ago
"Associate Staff Engineer, Python Fullstack (React)",Nagarro,4.0,4093,5-10 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","Good understanding of technical documentation, infrastructure setup, and maintenanceBac...",Computer sciencePostgresqlDjangoApplication developmentApplication securityHigh level designJIRAInformation technology,6 Days Ago
Completion and Well Test Engineer,Petrofac,4.3,878,8-12 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","MSc in Petroleum Engineering is preferred but not mandatoryPROSPER, AUTOLIFT, SubPUMP) ...",DrillingSupervisorESPHydraulicsHAZOPHAZIDCost estimationMechanical engineering,6 Days Ago
Software Developer 3,Oracle,3.7,5203,4-9 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","Requirements: . Bachelors degree in Computer Science, Engineering, or related field . 4...",Computer scienceData modelingMachine learningHealthcareOracleTroubleshootingMonitoringProduct support,5 Days Ago
Lift Implementation Specialist - Security,Oracle,3.7,5203,6-10 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Must have good understanding of SCIM and JIT based user management OCI Security Certifi...,CismApplication supportAutomationISOAccess managementCloudAgileOracle,6 Days Ago
Senior Java Software Developer,Oracle,3.7,5203,5-8 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",The candidate will provide use their expert technology knowledge to ensure the most app...,websphereweb serviceshibernateajaxapache tomcatplsqlsqlspring,5 Days Ago
Technical Analyst CSS,Oracle,3.7,5203,6-10 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","As a member of the Customer Success Services (CSS) organization, your focus is to add ...",ERPCustomer satisfactionFocusInstrumentationSupport servicesOracleSCMTroubleshooting,5 Days Ago
Senior Principal Consultant - FCCS,Oracle,3.7,5203,12-15 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",. Additional Requirements: . EPM Experience 12+ Years . Experience in Implementation of...,Solution architectureSolution designFinancial statementsPerformance managementArchitectureFinancial reportingArchitectural designApplication development,5 Days Ago
Senior Principal Consultant - EPBCS,Oracle,3.7,5203,12-15 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",. Additional Requirements: . EPM Experience 12+ Years . Hands on Experience on Planning...,Solution architectureManagement accountingSolution designPerformance managementArchitectureReconciliationArchitectural designbusiness rules,5 Days Ago
Senior Principal Consultant,Oracle,3.7,5203,12-15 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",. Additional Requirements: . EPM Experience 12+ Years . Hands on Experience on Planning...,Solution architectureManagement accountingSolution designPerformance managementArchitectureReconciliationArchitectural designbusiness rules,5 Days Ago
Software Developer 3,Oracle,3.7,5203,6-10 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","Educational Background: Bachelor s degree in Computer Science, Software Engineering, or...",C++NetworkingCodingDebuggingUnit testingCCNAOpen sourceTechnical support,5 Days Ago
Oracle EPM Consultant/Lead,Oracle,3.7,5203,5-7 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",. Additional Requirements: . EPM Experience 5+ Years . Experience in Implementation of ...,Solution architectureFinancial statementsPerformance managementArchitectureDiversity and InclusionConsultingApplication developmentOracle financials,5 Days Ago
Enterprise Planning & Budgeting (EPBCS/PBCS) - Lead,Oracle,3.7,5203,5-8 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",. Additional Requirements: . EPM Experience 5+ Years . Experience in Requirement Gather...,Design Architectbusiness rulesApplication developmentProject planningBudgetingPrincipalHyperion planningRules,5 Days Ago
Enterprise Planning & Budgeting (EPBCS/PBCS) - Lead,Oracle,3.7,5203,5-8 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",. Additional Requirements: . EPM Experience 5+ Years . Experience in Requirement Gather...,Design ArchitectPerformance managementbusiness rulesApplication developmentProject planningBudgetingPrincipalHyperion planning,5 Days Ago
Enterprise Planning & Budgeting,Oracle,3.7,5203,7-9 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",. Additional Requirements: . EPM Experience 7+ Years . Experience in Requirement Gather...,Solution architectureSolution designApplication designPerformance managementArchitectureArchitectural designbusiness rulesApplication development,5 Days Ago
Enterprise Planning & Budgeting (EPBCS/PBCS) - Lead,Oracle,3.7,5203,7-10 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",. Additional Requirements: . EPM Experience 7+ Years . Experience in Requirement Gather...,Solution architectureSolution designApplication designPerformance managementArchitectureArchitectural designbusiness rulesApplication development,5 Days Ago
Transportation Specialist,Amazon,4.1,25077,0-5 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","Skilled in collaborative management environment, clear formal and informal communicatio...",Computer scienceSupply chainNetwork operationsProcess improvementAnalyticalProject managementNetwork monitoringCustomer relationship,11 Days Ago
Storeroom Attendant,Radisson Hotel Group,4.0,1895,0-2 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Builds and maintains effective working relationships whilst promoting the company cultu...,HospitalityDue diligencePurchaseComplianceguest satisfactionExternal auditProcess controlGuest service,12 Days Ago
Storeroom Attendant,Radisson Hotel Group,4.0,1895,0-2 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Builds and maintains effective working relationships whilst promoting the company cultu...,HospitalityDue diligencePurchaseComplianceguest satisfactionExternal auditProcess controlGuest service,14 Days Ago
Store Operations,Starbucks,4.3,681,0-2 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","They play a vital role in ensuring a seamless customer experience, managing inventory, ...",Store operationsStoresOperationsStore Operation,8 Days Ago
Bartender,Marriott,4.2,1253,0-5 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Supervisory Experience: No supervisory experience . License or Certification: None PREF...,HousekeepingparkingUsageGuest serviceBartendingGuest,11 Days Ago
Guest Relations Associate - Front Office,Marriott,4.2,1253,0-3 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","Stand, sit, or walk for an extended period of time or for an entire work shift . Move, ...",HousekeepingSupervisorLoss preventionFront officeFront deskManager Quality AssuranceCostGuest relations,12 Days Ago
Guest Relation Associate - Female,Marriott,4.2,1253,0-3 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","Guest Experience Experts will be on their feet and moving around (stand, sit, or walk f...",Quality standardsGuest Relation AssociateOperationsQualityGuestGuest relationsRelationship,12 Days Ago
Online English language teacher,Global Lt,,,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","A degree or certification in language teaching, education, instructional design, lingui...",bedteaching englishlanguage teachingenglish literaturebusiness englishtutoringteachingtraining,11 Days Ago,Save,Unknown
UI Engineer III,Oracle,3.7,5203,4-5 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",. Desired Skills . - Proficient in Typescript / Python / HTML / JavaScript and CSS. - F...,Computer scienceAutomationLinuxTechnical writingMySQLDebuggingOLAPOracle,6 Days Ago
Assistant Manager/Manager,Flight Raja Travels Private Limited,4.2,92,3-8 Yrs,Not disclosed,"Guwahati, Srinagar, Hyderabad, Jaipur, Kolkata, Ludhiana, Agartala, Bhopal, Mumbai, Thane, Delhi, Lucknow, Pune, Ahmedabad, Bengaluru, Surat",Strong knowledge & preferable experience in B2B sales is a mustExperience: 3-8 Years . ...,Hotel salesB2BWeb technologiesB2B SalesMS OfficeCRMManagementSales,30+ Days Ago
Oracle Fusion Technical Engineer - Visual Builder,Oracle,3.7,5203,3-5 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Highly flexible so you remain agile in a fast-changing business and organizational envi...,ERPAutomationJavascriptManager TechnologyOracle FusionAgile methodologyOracleSCM,6 Days Ago
Scrum Master - Bangalore,Photon,4.1,1812,8-13 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","Managing, coordinating logistics for and participating in agile events (e.g., backlog p...",TrainingUsageKPIAgileScrumManagementJIRALogistics,30+ Days Ago
Software Developer 2,Oracle,3.7,5203,3-5 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Experience with web application development using microservices frameworks such as Heli...,Computer scienceArchitectureDebuggingHealthcareSystem designOracleDistribution systemSDLC,6 Days Ago
Software Developer 2,Oracle,3.7,5203,3-5 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Ability to work a flexible schedule (Sunday to Thursday-India Day shifts) as needed to ...,TicketingUsageArchitectureData modelingProblem managementManagementMiddlewareOperations,6 Days Ago
AI ML Engineer,Oracle,3.7,5203,6-10 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","As an AI Engineer, you will work closely with cross-functional teams to design, build...",Computer scienceC++Version controlGITDebuggingMachine learningOracleApache,6 Days Ago
Java Lead - Chennai/Bangalore,Photon,4.1,1812,5-9 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","Experience with web application servers like Tomcat, Jetty, JBoss etc7+ years of experi...",TomcatJBossRDBMSJSPEclipseJDBCJSONOracle,30+ Days Ago
